circuito;nombre_circuito;establecimiento;domicilio;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD;Blancos;Nulos;1º;2º;3º;4º;5º;6º
165;SANTA FE (LOS HORNOS);E.E.S.O.P.I. Nº 8106 DON BOSCO;ESTANISLAO ZEBALLOS 3333;399;324;309;117;65;47;26;80;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
165;SANTA FE (LOS HORNOS);E.P.I. Nº 1102 DON BOSCO;ESTANISLAO ZEBALLOS 3333;399;295;336;111;58;60;15;80;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
165;SANTA FE (LOS HORNOS);ESC. PRIM. Nº 26 PATRICIO CULLEN;AVDA URQUIZA 6067;477;360;368;126;96;64;24;103;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
165;SANTA FE (LOS HORNOS);ESC. PRIM. Nº 568 GRAL.SAN MARTIN;ESPORA 4301;354;256;316;103;57;44;24;71;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
170;SANTA FE (GUADALUPE ESTE);E.E.S.O. Nº 391 DR.ZAPATA GOLLAN;PEDRO DE VEGA 591;364;176;326;100;30;57;30;47;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
170;SANTA FE (GUADALUPE ESTE);ESC. PRIM. Nº 569 REP.DEL PARAGUAY;TACUARI 6360;76;26;65;18;17;10;5;8;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
170;SANTA FE (GUADALUPE ESTE);ESC. PRIM. Nº 6384 ALTE.G.BROWN;AVDA ALMTE BROWN 6173;252;158;256;93;32;34;25;49;LA LIBERTAD AVANZA;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
170;SANTA FE (GUADALUPE ESTE);UNIVERSIDAD CATOLICA DE STA.FE;CGO.ECHAGUE 7151;424;206;353;122;59;65;31;52;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
170;SANTA FE (GUADALUPE ESTE);UNIVERSIDAD TEC.NACIONAL;P.CULLEN 6000;358;162;335;95;37;65;22;49;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
171;SANTA FE (GUADALUPE OESTE);E.P.I. Nº 1050 SAN JOSE;P CULLEN 7554;354;271;257;73;58;52;17;77;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
